Init: GBs in use 1.067, 1.067
Run 205, 0.500036, GBs in use 2.132, 1.068.
Run 206, 0.500062, GBs in use 2.132, 1.068.
Run 207, 0.500050, GBs in use 2.132, 1.068.
Run 208, 0.500031, GBs in use 2.132, 1.068.
Run 209, 0.500086, GBs in use 2.132, 1.068.
Run 210, 0.500004, GBs in use 2.132, 1.068.
Run 211, 0.499966, GBs in use 2.132, 1.068.
Run 212, 0.500038, GBs in use 2.132, 1.068.
Run 213, 0.499976, GBs in use 2.132, 1.068.
Run 214, 0.499997, GBs in use 2.132, 1.068.
Run 215, 0.500032, GBs in use 2.132, 1.068.
Run 216, 0.500032, GBs in use 2.132, 1.068.
Run 217, 0.500006, GBs in use 2.132, 1.068.
Run 218, 0.500033, GBs in use 2.132, 1.068.
Run 219, 0.500037, GBs in use 2.132, 1.068.
Run 220, 0.499953, GBs in use 2.132, 1.068.
Run 221, 0.500013, GBs in use 2.132, 1.068.
Run 222, 0.500040, GBs in use 2.132, 1.068.
Run 223, 0.500052, GBs in use 2.132, 1.068.
Run 224, 0.499998, GBs in use 2.132, 1.068.
Run 225, 0.499986, GBs in use 2.132, 1.068.
Run 226, 0.499988, GBs in use 2.132, 1.068.
Run 227, 0.499935, GBs in use 2.132, 1.068.
Run 228, 0.499997, GBs in use 2.132, 1.068.
Run 229, 0.500076, GBs in use 2.132, 1.068.
Run 230, 0.499975, GBs in use 2.132, 1.068.
Run 231, 0.499981, GBs in use 2.132, 1.068.
Run 232, 0.499971, GBs in use 2.132, 1.068.
Run 233, 0.499903, GBs in use 2.132, 1.068.
Run 234, 0.499980, GBs in use 2.132, 1.068.
Run 235, 0.500018, GBs in use 2.132, 1.068.
Run 236, 0.500011, GBs in use 2.132, 1.068.
Run 237, 0.500009, GBs in use 2.132, 1.068.
Run 238, 0.500017, GBs in use 2.132, 1.068.
Run 239, 0.499932, GBs in use 2.132, 1.068.
Run 240, 0.500023, GBs in use 2.132, 1.068.
Run 241, 0.499967, GBs in use 2.132, 1.068.
Run 242, 0.500005, GBs in use 2.132, 1.068.
Run 243, 0.500050, GBs in use 2.132, 1.068.
Run 244, 0.500020, GBs in use 2.132, 1.068.
Run 245, 0.499982, GBs in use 2.132, 1.068.
